n_neighbor,weights,p,Algorithm,Leaf size,Accuracy,F1 Score
7,uniform,1,kd_tree,30,0.781586679725759,0.7796930156687487
7,uniform,1,brute,20,0.781586679725759,0.7796930156687487
7,uniform,1,brute,30,0.781586679725759,0.7796930156687487
8,uniform,1,auto,20,0.7761998041136141,0.7751055283557002
8,uniform,1,auto,30,0.7761998041136141,0.7751055283557002
8,uniform,1,ball_tree,20,0.7761998041136141,0.7751055283557002
8,uniform,1,ball_tree,30,0.7761998041136141,0.7751055283557002
8,uniform,1,kd_tree,20,0.7761998041136141,0.7751055283557002
8,uniform,1,kd_tree,30,0.7761998041136141,0.7751055283557002
8,uniform,1,brute,20,0.7761998041136141,0.7751055283557002
8,uniform,1,brute,30,0.7761998041136141,0.7751055283557002
9,uniform,1,auto,20,0.7727717923604309,0.7703515094864679
9,uniform,1,auto,30,0.7727717923604309,0.7703515094864679
9,uniform,1,ball_tree,20,0.7727717923604309,0.7703515094864679
9,uniform,1,ball_tree,30,0.7727717923604309,0.7703515094864679
9,uniform,1,kd_tree,20,0.7727717923604309,0.7703515094864679
9,uniform,1,kd_tree,30,0.7727717923604309,0.7703515094864679
9,uniform,1,brute,20,0.7727717923604309,0.7703515094864679
9,uniform,1,brute,30,0.7727717923604309,0.7703515094864679
1,uniform,2,auto,20,0.7382468168462292,0.737008048668104
1,uniform,2,auto,30,0.7382468168462292,0.737008048668104
1,uniform,2,ball_tree,20,0.7382468168462292,0.737008048668104
1,uniform,2,ball_tree,30,0.7382468168462292,0.737008048668104
1,uniform,2,kd_tree,20,0.7382468168462292,0.737008048668104
1,uniform,2,kd_tree,30,0.7382468168462292,0.737008048668104
1,uniform,2,brute,20,0.7382468168462292,0.737008048668104
1,uniform,2,brute,30,0.7382468168462292,0.737008048668104
2,uniform,2,auto,20,0.7071498530852106,0.7057100540852744
2,uniform,2,auto,30,0.7071498530852106,0.7057100540852744
2,uniform,2,ball_tree,20,0.7071498530852106,0.7057100540852744
2,uniform,2,ball_tree,30,0.7071498530852106,0.7057100540852744
2,uniform,2,kd_tree,20,0.7071498530852106,0.7057100540852744
2,uniform,2,kd_tree,30,0.7071498530852106,0.7057100540852744
2,uniform,2,brute,20,0.7071498530852106,0.7057100540852744
2,uniform,2,brute,30,0.7071498530852106,0.7057100540852744
3,uniform,2,auto,20,0.7242899118511263,0.7230121384825574
3,uniform,2,auto,30,0.7242899118511263,0.7230121384825574
3,uniform,2,ball_tree,20,0.7242899118511263,0.7230121384825574
3,uniform,2,ball_tree,30,0.7242899118511263,0.7230121384825574
3,uniform,2,kd_tree,20,0.7242899118511263,0.7230121384825574
3,uniform,2,kd_tree,30,0.7242899118511263,0.7230121384825574
3,uniform,2,brute,20,0.7242899118511263,0.7230121384825574
3,uniform,2,brute,30,0.7242899118511263,0.7230121384825574
4,uniform,2,auto,20,0.7157198824681684,0.713236481969629
4,uniform,2,auto,30,0.7157198824681684,0.713236481969629
4,uniform,2,ball_tree,20,0.7157198824681684,0.713236481969629
4,uniform,2,ball_tree,30,0.7157198824681684,0.713236481969629
4,uniform,2,kd_tree,20,0.7157198824681684,0.713236481969629
4,uniform,2,kd_tree,30,0.7157198824681684,0.713236481969629
4,uniform,2,brute,20,0.7157198824681684,0.713236481969629
4,uniform,2,brute,30,0.7157198824681684,0.713236481969629
5,uniform,2,auto,20,0.7113124387855044,0.7081933301587441
5,uniform,2,auto,30,0.7113124387855044,0.7081933301587441
5,uniform,2,ball_tree,20,0.7113124387855044,0.7081933301587441
5,uniform,2,ball_tree,30,0.7113124387855044,0.7081933301587441
5,uniform,2,kd_tree,20,0.7113124387855044,0.7081933301587441
5,uniform,2,kd_tree,30,0.7113124387855044,0.7081933301587441
5,uniform,2,brute,20,0.7113124387855044,0.7081933301587441
5,uniform,2,brute,30,0.7113124387855044,0.7081933301587441
6,uniform,2,auto,20,0.7061704211557297,0.70347679954194
6,uniform,2,auto,30,0.7061704211557297,0.70347679954194
6,uniform,2,ball_tree,20,0.7061704211557297,0.70347679954194
6,uniform,2,ball_tree,30,0.7061704211557297,0.70347679954194
6,uniform,2,kd_tree,20,0.7061704211557297,0.70347679954194
6,uniform,2,kd_tree,30,0.7061704211557297,0.70347679954194
6,uniform,2,brute,20,0.7061704211557297,0.70347679954194
6,uniform,2,brute,30,0.7061704211557297,0.70347679954194
7,uniform,2,auto,20,0.7098432908912831,0.706398146359003
7,uniform,2,auto,30,0.7098432908912831,0.706398146359003
7,uniform,2,ball_tree,20,0.7098432908912831,0.706398146359003
7,uniform,2,ball_tree,30,0.7098432908912831,0.706398146359003
7,uniform,2,kd_tree,20,0.7098432908912831,0.706398146359003
7,uniform,2,kd_tree,30,0.7098432908912831,0.706398146359003
7,uniform,2,brute,20,0.7098432908912831,0.706398146359003
7,uniform,2,brute,30,0.7098432908912831,0.706398146359003
8,uniform,2,auto,20,0.7073947110675808,0.7041585120593901
8,uniform,2,auto,30,0.7073947110675808,0.7041585120593901
8,uniform,2,ball_tree,20,0.7073947110675808,0.7041585120593901
8,uniform,2,ball_tree,30,0.7073947110675808,0.7041585120593901
8,uniform,2,kd_tree,20,0.7073947110675808,0.7041585120593901
8,uniform,2,kd_tree,30,0.7073947110675808,0.7041585120593901
8,uniform,2,brute,20,0.7073947110675808,0.7041585120593901
8,uniform,2,brute,30,0.7073947110675808,0.7041585120593901
9,uniform,2,auto,20,0.6993143976493633,0.6946380027083727
9,uniform,2,auto,30,0.6993143976493633,0.6946380027083727
9,uniform,2,ball_tree,20,0.6993143976493633,0.6946380027083727
9,uniform,2,ball_tree,30,0.6993143976493633,0.6946380027083727
9,uniform,2,kd_tree,20,0.6993143976493633,0.6946380027083727
9,uniform,2,kd_tree,30,0.6993143976493633,0.6946380027083727
9,uniform,2,brute,20,0.6993143976493633,0.6946380027083727
9,uniform,2,brute,30,0.6993143976493633,0.6946380027083727
1,uniform,3,auto,20,0.7144955925563173,0.7132729957043892
1,uniform,3,auto,30,0.7144955925563173,0.7132729957043892
1,uniform,3,ball_tree,20,0.7144955925563173,0.7132729957043892
1,uniform,3,ball_tree,30,0.7144955925563173,0.7132729957043892
1,uniform,3,kd_tree,20,0.7144955925563173,0.7132729957043892
1,uniform,3,kd_tree,30,0.7144955925563173,0.7132729957043892
1,uniform,3,brute,20,0.7144955925563173,0.7132729957043892
1,uniform,3,brute,30,0.7144955925563173,0.7132729957043892
