n_neighbor,p,Leaf size,weights_distance,weights_uniform,Algorithm_auto,Algorithm_ball_tree,Algorithm_brute,Algorithm_kd_tree,Accuracy,F1 Score
-0.8146711884742013,-0.9620778905343496,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7879529872673849,0.7874085015923344
-0.8146711884742013,-0.9620778905343496,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7879529872673849,0.7874085015923344
-0.8146711884742013,-0.9620778905343496,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7879529872673849,0.7874085015923344
-0.8146711884742013,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7879529872673849,0.7874085015923344
-0.8146711884742013,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7879529872673849,0.7874085015923344
-0.8146711884742013,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7879529872673849,0.7874085015923344
-0.8146711884742013,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7879529872673849,0.7874085015923344
-0.6826906579405021,-0.9620778905343496,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7835455435847208,0.78256316373116
-0.6826906579405021,-0.9620778905343496,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7835455435847208,0.78256316373116
-0.6826906579405021,-0.9620778905343496,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7835455435847208,0.78256316373116
-0.6826906579405021,-0.9620778905343496,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7835455435847208,0.78256316373116
-0.6826906579405021,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7835455435847208,0.78256316373116
-0.6826906579405021,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7835455435847208,0.78256316373116
-0.6826906579405021,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7835455435847208,0.78256316373116
-0.6826906579405021,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7835455435847208,0.78256316373116
-0.5507101274068028,-0.9620778905343496,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7810969637610186,0.7795323915715875
-0.5507101274068028,-0.9620778905343496,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7810969637610186,0.7795323915715875
-0.5507101274068028,-0.9620778905343496,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7810969637610186,0.7795323915715875
-0.5507101274068028,-0.9620778905343496,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7810969637610186,0.7795323915715875
-0.5507101274068028,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7810969637610186,0.7795323915715875
-0.5507101274068028,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7810969637610186,0.7795323915715875
-0.5507101274068028,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7810969637610186,0.7795323915715875
-0.5507101274068028,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7810969637610186,0.7795323915715875
-0.4187295968731035,-0.9620778905343496,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7796278158667973,0.7788086763964153
-0.4187295968731035,-0.9620778905343496,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7796278158667973,0.7788086763964153
-0.4187295968731035,-0.9620778905343496,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7796278158667973,0.7788086763964153
-0.4187295968731035,-0.9620778905343496,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7796278158667973,0.7788086763964153
-0.4187295968731035,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7796278158667973,0.7788086763964153
-0.4187295968731035,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7796278158667973,0.7788086763964153
-0.4187295968731035,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7796278158667973,0.7788086763964153
-0.4187295968731035,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7796278158667973,0.7788086763964153
-0.2867490663394043,-0.9620778905343496,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.781586679725759,0.7796930156687487
-0.2867490663394043,-0.9620778905343496,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.781586679725759,0.7796930156687487
-0.2867490663394043,-0.9620778905343496,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.781586679725759,0.7796930156687487
-0.2867490663394043,-0.9620778905343496,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.781586679725759,0.7796930156687487
-0.2867490663394043,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.781586679725759,0.7796930156687487
-0.2867490663394043,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.781586679725759,0.7796930156687487
-0.2867490663394043,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.781586679725759,0.7796930156687487
-0.2867490663394043,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.781586679725759,0.7796930156687487
-0.154768535805705,-0.9620778905343496,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7761998041136141,0.7751055283557002
-0.154768535805705,-0.9620778905343496,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7761998041136141,0.7751055283557002
-0.154768535805705,-0.9620778905343496,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7761998041136141,0.7751055283557002
-0.154768535805705,-0.9620778905343496,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7761998041136141,0.7751055283557002
-0.154768535805705,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7761998041136141,0.7751055283557002
-0.154768535805705,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7761998041136141,0.7751055283557002
-0.154768535805705,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7761998041136141,0.7751055283557002
-0.154768535805705,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7761998041136141,0.7751055283557002
-0.02278800527200572,-0.9620778905343496,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7727717923604309,0.7703515094864679
-0.02278800527200572,-0.9620778905343496,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7727717923604309,0.7703515094864679
-0.02278800527200572,-0.9620778905343496,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7727717923604309,0.7703515094864679
-0.02278800527200572,-0.9620778905343496,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7727717923604309,0.7703515094864679
-0.02278800527200572,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7727717923604309,0.7703515094864679
-0.02278800527200572,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7727717923604309,0.7703515094864679
-0.02278800527200572,-0.9620778905343496,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7727717923604309,0.7703515094864679
-0.02278800527200572,-0.9620778905343496,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7727717923604309,0.7703515094864679
-1.0786322495415999,-0.583242687179464,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7382468168462292,0.737008048668104
-1.0786322495415999,-0.583242687179464,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7382468168462292,0.737008048668104
-1.0786322495415999,-0.583242687179464,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7382468168462292,0.737008048668104
